,max_speed,distance,avg_corner_speed,avg_speed,short_gear_corners_prop,long_gear_corners_prop,slow_corners_prop,medium_corners_prop,fast_corners_prop,straight_prop,gear_changes_per_km,n_corners_per_km
hockenheimring,0.5970149253731343,0.36000806436033184,0.7022788551967858,0.6596942117392031,0.30340557275541785,0.8982154659616657,0.37500000000000006,0.4602076124567474,0.4408163265306122,0.4384435014178876,0.36804723971342657,0.4564606029822151
nurburgring,0.5671641791044779,0.507112731233019,0.3243197421242021,0.5210575400304971,0.5894736842105264,0.5595505617977529,0.7083333333333335,0.3568627450980392,0.2644897959183674,0.48127722765905506,0.48692993519132444,0.25717757881918285
portimao,0.5074626865671643,0.3786579500212628,0.4819210029817911,0.5001352485736921,0.4789473684210526,0.748314606741573,0.5666666666666667,0.13725490196078433,0.6391836734693879,0.46745863803171744,0.35295936218468593,0.33323554404791006
sochi,0.1641791044776122,0.6903106725659967,0.30833934725361645,0.40272869867196803,0.9210526315789473,0.3707865168539326,0.5902777777777779,0.32026143790849676,0.4102040816326532,0.2672111342735245,0.6347450874627923,0.30152530426101226
istanbul,0.6119402985074629,0.5452130000675792,0.3584896745303192,0.6434750720303142,0.763157894736842,0.3033707865168539,0.45535714285714274,0.5294117647058822,0.2912536443148687,0.8885882100634371,0.21369365107547145,0.18904922859006296
ricard,0.7462686567164178,0.6861976834207875,0.3823611045367472,0.6478208272016581,0.5894736842105264,0.4651685393258428,0.4250000000000001,0.5764705882352941,0.2644897959183674,0.8219084219359997,0.2364330135054432,0.17201123423907166
bahrain,0.5522388059701493,0.5766949758689361,0.3420069289482459,0.5178653566542359,0.7,0.5595505617977529,0.4250000000000001,0.5764705882352941,0.2644897959183674,0.7338194932165989,0.3894208621920908,0.22159305379876332
jeddah,0.7462686567164178,0.773946613603858,1.0000000000000002,0.9046461285384,0.0,0.947565543071161,0.15740740740740727,0.13725490196078433,1.0,0.3135086431752893,0.15141238336692153,0.6353889846458718
albert_park,0.6865671641791051,0.5352924386774487,0.6871139446006012,0.8395915759043007,0.17105263157894723,0.8089887640449439,0.3035714285714285,0.411764705882353,0.5588921282798834,0.746195785944188,0.10858756157904115,0.1937926472933545
suzuka,0.2238805970149258,0.6791060376936682,0.7059580503159231,0.7223970714385173,0.18421052631578944,1.0,0.35416666666666663,0.22875816993464054,0.7224489795918368,0.5318946020449161,0.03870300115497627,0.30719757036391254
shanghai,0.7910447761194028,0.5813585184729706,0.21096112724564442,0.4413269870459757,0.8519736842105263,0.252808988764045,0.7968750000000002,0.3088235294117648,0.2410714285714286,0.48882084236973633,0.29998911927114336,0.2663463985867461
miami,0.8507462686567164,0.5652752763535567,0.38950303673951225,0.5655853575936827,0.6883656509695291,0.3459491425192194,0.7828947368421054,0.19504643962848295,0.38281417830290015,0.8088456164771406,0.17994319647675505,0.41736289322375614
imola,0.23880597014925442,0.4402897186096013,0.7297140139593099,0.7172112484967323,0.4265927977839335,0.7185097575399173,0.11184210526315787,0.541795665634675,0.5800214822771215,0.28883146775527857,0.23463280377898021,0.5031084745116943
monaco,0.0,0.0,0.044614970922735475,0.0,0.8628808864265927,0.19692489651094017,0.8947368421052632,0.3684210526315788,0.08700322234156814,0.0,0.9999999999999999,0.9999999999999998
villeneuve,0.6865671641791051,0.2890679281787827,0.19085818553612555,0.5329470047021991,1.0,0.0,0.3035714285714285,0.7647058823529411,0.15743440233236144,0.7408188245192835,0.6452755766109987,0.33739767481633204
catalunya,0.6417910447761193,0.3775338407335447,0.6156216568941877,0.6978938002102182,0.5263157894736841,0.5056179775280898,0.0,0.6470588235294119,0.5588921282798834,0.597797566454082,0.2787710427978942,0.2793104010985609
red_bull_ring,0.5820895522388065,0.2831358725193618,0.6676624038761829,0.7702174404949091,0.3131578947368421,0.748314606741573,0.4250000000000001,0.411764705882353,0.45183673469387764,0.7772068828420621,0.4353606692877906,0.1051719383010154
silverstone,0.6417910447761193,0.6986293368770022,0.8783806158146323,0.8436631975249189,0.0,0.6067415730337079,0.11805555555555546,0.32026143790849676,0.8265306122448981,0.6746137071349966,0.07005135664838436,0.2973662418900645
hungaroring,0.35820895522388074,0.2958467116044783,0.34910115056006097,0.4603774228751045,1.0,0.4044943820224719,0.3035714285714285,1.0,0.15743440233236144,0.24808857249735433,0.5307110259513982,0.33263651080678874
zandvoort,0.7313432835820901,0.2676869245132134,0.588825092168104,0.5641438484555024,0.40789473684210514,0.6067415730337079,0.3035714285714285,0.29411764705882343,0.6927113702623906,0.39661847514346343,0.3402544751864588,0.35278452608438765
monza,0.9850746268656723,0.675142789467351,0.4529812038103733,1.0,0.41866028708133957,0.5423901940755873,0.3863636363636364,0.6363636363636362,0.23042671614100185,1.0,0.12136504517465407,0.0
baku,0.5522388059701493,0.7298400951907245,0.21111084204505337,0.4559271518357666,0.976315789473684,0.32359550561797756,0.9562500000000003,0.0,0.45183673469387764,0.43447879676065015,0.5250395436431688,0.3674868630329993
marina_bay,0.35820895522388074,0.44242871351277246,0.21401749042491547,0.33919364122419493,0.7756232686980609,0.19692489651094017,0.5592105263157896,0.541795665634675,0.18560687432867878,0.26432676625369006,0.8757148033023446,0.5015043369946841
americas,0.6865671641791051,0.5879936498424378,0.5340463695233046,0.48152055241139813,0.5618421052631579,0.5359550561797753,0.6375000000000001,0.08235294117647057,0.6391836734693879,0.4358976358912231,0.35999070395007615,0.45015294747264584
rodriguez,1.0,0.26784869281515,0.0,0.3800459915845291,0.9860681114551084,0.3152676801057501,1.0,0.36332179930795844,0.0,0.7397959306729915,0.36754242555601657,0.5323635234145441
vegas,0.9402985074626873,0.7852010117735309,0.49983573333464837,0.7616631915343572,0.6934984520123839,0.565102445472571,0.7500000000000001,0.07266435986159164,0.5510204081632654,0.6940016255890334,0.22155306229598093,0.21530629046412958
losail,0.6268656716417915,0.5781742688121625,0.8381970666592509,0.7682939333962748,0.23026315789473684,0.8721910112359551,0.13281250000000003,0.411764705882353,0.7094387755102042,0.2787134864387394,0.0,0.26799324742992153
yas_marina,0.6417910447761193,0.533836523960014,0.5300950912562727,0.6416129510551594,0.644736842105263,0.5182584269662922,0.5312500000000001,0.10294117647058826,0.7094387755102042,0.5892110590378937,0.3541649893834854,0.2916968397858611
spa,0.4029850746268657,1.0,0.7043066982919426,0.7164643602526728,0.4265927977839335,0.7930218805440568,0.44736842105263147,0.19504643962848295,0.678625134264232,0.7133025195924682,0.13881835450978175,0.2080860314475566
interlagos,0.7164179104477615,0.2695306471626622,0.5356106620081065,0.5461644406071842,0.4789473684210526,0.4651685393258428,0.4250000000000001,0.46666666666666673,0.38938775510204077,0.3779485307213391,0.33866556175534546,0.41124633862146137
